id,polarity,tweet
1468021751,pos,@adeline_sky  that sounds fantastic! Youre amazing! We need to watch some Muse gigs too! Shall we do it Saturday night?
1468006013,pos,@RobKardashian Rob Your my fav Kardashian Please say Hi to me 
2221809420,neg,is kinda annoyed when people dont reply to me on facebook chat. . . . 
1694090958,pos,Thats the Birthday Boys iPod Touch and DSi setminusup and sorted. Just to think I would have been happy with a ball plus boots at that age! 
1548615776,pos,@bbrannan Im and good and glad you are too!   Dont you think we should get the new twitter Oprah to share in twitter causes? 
1990295324,neg,Terrible news: Air France flight from Brazil with 228 people has been lost at sea: http://tr.im/AFcrash I took that flight 3 years ago 
1975913322,neg,Tonight  bron bron could go home  im of course praying for the miricle...Cavs plz step up and help lebron play!!!
1976585588,pos,watchin the cavs game with friends 
2324710581,neg,I want a strawberry milkshake from Mcdonalds shame i cant get there 
2069344376,pos,Waiting for Game 2 To Start! GO LAKERS 
2321782369,neg,dont feel well and certain things are giving me a headache 
2061728717,neg,Herpes be gone! Bet quote of the night &quotUnlike Love Herpes is Forever&quot on queue: Viruses and Cancer. This is normal saturday equals study 
1999580088,neg,its times like this I wish I could put new songs onto my ipod. its britney spears and lady gagaminusless 
1468006992,pos,had a great ending to a great day!  Being brave pays off.  Thank you Jesusminusseriously.  Now off to watch the Hills and then bed!
1834017698,neg,I think i officially killed my ipod 
1996477797,pos,even though i should be in bed im watching videos on youtube   i love watching the final dance in step up 2..... http://tinyurl.com/mg8ppc
1467901623,pos,@DonnieWahlberg YOU give me joy....and you have for years. You are such an amazing man and we are all lucky to know you. 
1468699618,pos,skateboarder snowboarder breakdancer surfer NASA person               then ill be famous
2198556918,neg,Think I figured out my Xbox Live auto signminusin problem...but Live is down so I cant test it   Dont really want to broadcast my SSID tho.
1467988951,pos,@DrSecret Nice to meet you too buddy 
2058997597,pos,@Larissa_Ione I LOVED Taming the Fire! I emailed sydney croft with all the reasons why 
1984821892,neg,Aw man Ive actual made myself sick by being hooked on nasal spray  my nose and throat are fucked 
2016400783,pos,@mdietrich that`s why you should go for holiday as soon ! (whithout iPhone &amp notebook) 
2015650812,neg,I am still 98 yrs old on Facebook. How How How?   
1467862998,pos,@lhawthorn What a coincidence! I was just stalking your Twitter feed and the GSoC news. ) Im doing great thanks. How about you? 
2013303495,pos,@ColinCancer HAHA  very funny! So what or who encouraged you to create a Twitter?
1467893730,neg,@alicayaba so cuuute! hey i miss you na!  its not the same not seeing you girls everyday 
1687099098,pos,road trip with the boy.  so far we have discovered an Obama cafe. haha
2174872978,neg,@Ayerad no well  i hope not. He could ha hasnt been at school fer a wile  but @koast08 doesnt believe he had cancer
1977001369,neg,@onehunnidt Amen to that. I hate the Lakers so I really hope Orlando takes it cuz the Cavs lost it 
1977366061,neg,very sad after cavs loss 
2299312882,neg,Hoping that just a single #squarespace might get me another iPhone. I need a 3G to test against !! Tired of sacrificing my personal phone 
1992626346,pos,follow @skate4cancer ! you know you all want to
